"reference","lng","lat""orders"
pup3661,28.0427388,-26.1949974,2
pup713,27.983037,-26.001503,2861
pup303,21.4043,-34.3714,1008
pup4207,29.934069,-27.75606,557
pup3836,26.2086352,-29.1150424,7
pup4230,30.8829487,-29.3726004,17
pup4414,28.015259,-25.574405,19
pup4802,27.5944393,-30.968195,2
pup4755,28.0103092,-26.0169521,8
pup1954,30.812506,-29.748901,1412
pup4540,18.5067,-33.8947,140
pup3168,27.2512153,-25.7069442,534
pup2313,29.9389293,-30.2647987,707
pup2272,19.4353129,-33.6316424,1018
pup2681,27.5792947,-31.9995796,1
pup840,30.395434,-29.616606,979
pup2090,28.1573276,-26.1898138,522
pup3734,18.4235442,-33.9236819,1926
pup1436,25.5785895,-33.9489251,3280
pup910,26.667546,-26.868737,5366
pup3223,27.7803,-26.1669,896
pup1939,19.021569,-34.340448,715
pup1520,18.4199772,-33.9039476,215
pup3858,18.5904626,-34.002394,12
pup1617,29.9248924,-27.7337305,1774
pup987,28.143567,-25.846541,2343
pup3557,28.0048464,-26.0195401,263
pup1898,29.6158263,-26.7322809,148
pup1153,18.476969,-34.012956,218
pup4546,28.1265,-25.9805,46
pup3481,28.0493,-26.0999,1034
pup1492,26.210793,-29.1148772,997
pup3438,19.2243164,-34.4195757,127
pup3183,18.8581346,-33.9353513,1403
pup4277,27.9442404,-26.0586591,525
pup3985,27.995881,-25.605315,77
pup1877,28.417971,-26.154214,45
pup2497,25.327859,-27.1911377,1146
pup3662,18.4516908,-34.0638784,9
pup2391,31.2109,-24.7729,1473
pup329,26.157537,-26.150132,349
pup3641,25.5764872,-33.948986,173
pup722,28.325429,-25.754025,2868
pup2425,26.7077,-30.68975,18
pup457,29.717711,-26.15943,231
pup1485,18.5117159,-33.8923754,466
pup2520,18.4640228,-33.9800956,688
pup1300,19.49304,-33.646831,282
pup4297,28.7596267,-31.5934377,432
pup3767,26.7357501,-27.9773877,692
pup3545,18.701666,-33.998081,1341
pup612,32.051353,-28.7514,8938
pup621,25.526945,-33.952166,2019
pup4124,28.454311,-26.275526,3
pup4664,29.4223493,-30.5484284,96
pup3671,28.0557089,-26.3142432,137
pup158,30.989602,-29.92407,101
pup345,28.270936,-25.70841,483
pup4299,27.8966096,-32.9708129,324
pup3566,18.449851,-34.0649311,2441
pup995,31.403273,-29.146178,2877
pup110,28.186948,-26.071221,473
pup351,30.779328,-25.098171,709
pup4028,28.786041,-31.596862,8
pup4349,18.359759,-34.030068,16
pup628,28.054267,-26.166454,3110
pup1025,30.904642,-29.972117,4475
pup1861,28.3718428,-26.354974,299
pup1473,18.5981575,-33.906044,6120
pup4713,28.3698162,-25.8054986,12
pup1879,27.7708768,-26.1023478,41
pup3118,30.4484347,-30.7385389,2041
pup2422,30.16105,-23.82724,286
pup3203,22.1252065,-30.9718708,89
pup688,28.242772,-25.758374,3622
pup2308,27.8656012,-26.326968,2060
pup4562,23.474038,-33.955468,30
pup3082,28.3231597,-25.7663704,750
pup2350,27.9014299,-33.0089145,871
pup3555,18.4516369,-34.0638573,559
pup3885,24.7626886,-28.7652924,75
pup1991,24.7596,-28.7589,534
pup2557,31.0323773,-29.8517596,585
pup3310,19.8991991,-34.4651205,15
pup3195,18.7265681,-33.4602796,932
pup3803,28.5169139,-25.6732524,34
pup3587,27.9020636,-26.1267253,311
pup4831,30.9159491,-29.9467904,1
pup2105,28.330671,-28.249334,752
pup3665,27.8147099,-26.7114363,32
pup4868,31.066904,-29.725924,
pup2285,30.8575692,-29.81166,1259
pup380,20.956955,-34.090286,487
pup4261,27.2495884,-25.707077,195
pup873,30.881604,-29.912816,9463
pup770,29.943711,-27.778825,3334
pup4465,18.378264,-33.376106,84
pup4717,31.7816206,-25.6846236,18
pup651,28.223466,-26.105573,4798
pup556,18.421012,-33.902938,2932
pup932,26.179526,-29.144168,1655
pup2211,28.0972662,-25.890871,215
pup2911,27.8518711,-26.2485456,2749
pup696,28.253833,-25.837281,2841
pup4013,18.66652,-33.155027,1
pup196,25.397655,-33.769504,717
pup1575,28.0423957,-26.2042657,1447
pup2539,31.0651838,-29.7261381,639
pup4332,32.757217,-26.987209,367
pup61,28.085694,-26.156044,553
pup4373,28.1835048,-25.7476108,24
pup4775,18.5821304,-33.9721806,2
pup4369,27.3980786,-26.3560704,6
pup4745,27.8341686,-26.560572,
pup732,28.78755,-31.594288,9121
pup1854,25.8249514,-31.2951191,52
pup3202,18.4397926,-33.9275266,5
pup4573,26.525021,-25.3632104,8
pup2316,27.8025132,-25.6503397,2225
pup791,30.04191,-22.340231,3551
pup4461,28.022754,-26.130545,23
pup4856,19.2923905,-33.9896395,1
pup4761,27.9104923,-32.9927919,19
pup100,27.992534,-32.934435,1212
pup1511,30.9367256,-29.8484872,272
pup3778,29.4877997,-23.9034077,575
pup3789,28.1935917,-24.2540972,7
pup3589,18.5567226,-33.8918443,1386
pup2427,28.36554,-26.23595,19
pup2355,28.2500071,-25.8614612,1224
pup3965,18.6322246,-33.8736977,179
pup1970,28.126371,-26.1276805,659
pup2239,30.9557671,-25.469624,225
pup3679,22.1163438,-34.1850152,67
pup642,27.862095,-26.139631,5360
pup503,18.729718,-33.462088,4880
pup1786,18.9680078,-33.73128,34
pup3451,30.2158118,-28.1738178,216
pup538,18.5384,-33.961303,5688
pup3738,17.985536,-32.92162,757
pup2400,18.5383276,-33.9609513,3687
pup3696,28.1236895,-25.9583037,287
pup4774,28.1563546,-26.2536623,18
pup1066,30.459153,-22.974595,1003
pup999,29.447829,-23.897477,2484
pup3904,28.0429649,-26.1472188,43
pup1203,25.1007915,-30.711878,278
pup2864,31.2015413,-29.5263503,131
pup4480,28.162009,-26.327063,68
pup1563,28.2740023,-25.782677,778
pup4510,28.4178872,-25.1691569,27
pup3292,30.0357,-27.759,426
pup2067,31.0221068,-29.8579658,1239
pup862,29.130269,-25.87218,3297
pup3785,28.2611316,-26.0299822,86
pup4826,27.8871713,-25.8995223,4
pup663,29.906393,-23.041795,4161
pup1557,27.8229699,-26.7096842,1823
pup1515,28.2502039,-25.8613713,89
pup936,27.233236,-27.663189,1299
pup3969,29.2625241,-25.8867391,169
pup4215,29.9797921,-26.5190129,67
pup1907,18.4435052,-33.7022272,227
pup3630,27.9791718,-26.2650023,415
pup1039,30.814473,-29.748937,3047
pup3232,28.0212776,-26.0863656,
pup3754,30.8579167,-28.1884722,3
pup2609,29.241072,-26.9507654,94
pup4375,28.0849665,-25.5513461,12
pup1953,31.064673,-29.754011,836
pup187,27.843436,-26.772141,1186
pup2509,23.48703,-33.29445,252
pup2511,29.98651,-26.51864,116
pup2482,29.2959,-24.96908,115
pup3228,28.8139102,-25.4027274,195
pup4158,30.9546498,-25.4694888,165
pup4338,30.840373,-29.795441,244
pup488,22.467777,-33.960112,1055
pup2728,28.3183854,-26.251231,368
pup871,30.855459,-30.098622,2057
pup2762,28.0575428,-26.3140149,309
pup138,30.967237,-29.927157,411
pup2333,30.3780298,-29.5826445,3902
pup3055,28.3229105,-28.2406895,1203
pup2403,29.8832103,-27.3679029,1663
pup1727,28.2322612,-25.7716132,599
pup4382,30.8571501,-29.8157258,94
pup1653,31.0876997,-29.7252843,662
pup888,25.501897,-33.958391,1247
pup2606,29.1966704,-26.5173785,26
pup1547,26.7352778,-27.9775152,618
pup1483,31.0198098,-29.8588233,920
pup1352,30.0934623,-29.49598,228
pup1429,28.1081731,-26.0156613,4022
pup2083,25.5760265,-33.9494148,1116
pup1517,28.1066794,-26.0154685,1043
pup59,27.98307,-26.033609,1210
pup1958,22.5031591,-33.9869134,2079
pup3524,27.9049117,-26.1273197,110
