"reference","lng","lat""orders"
pup4288,28.3110056,-25.8231787,161
pup214,28.110897,-24.298761,591
pup4048,30.394803,-29.616403,19
pup2903,28.2190836,-26.17172,884
pup1521,27.2529346,-25.7074727,777
pup2550,31.0557188,-29.7375712,94
pup2108,26.2330849,-29.0712944,452
pup4790,27.9101666,-26.1341601,7
pup4606,25.607484,-33.950568,89
pup2195,25.4592405,-33.9527546,2365
pup1497,28.3253097,-25.7667456,3688
pup668,26.084251,-25.544484,2277
pup1184,27.2101459,-25.6612127,494
pup79,31.04915,-29.758188,1779
pup4255,29.4556657,-25.8058496,389
pup2268,18.5862806,-34.0411798,2
pup4179,29.1814759,-26.5109926,954
pup2077,28.7715127,-25.404603,1160
pup899,28.283068,-26.159288,1669
pup3771,28.1258889,-25.8125028,8
pup1643,18.1843627,-32.7868193,189
pup973,28.240401,-26.083751,3107
pup3586,18.509965,-33.892546,117
pup2824,27.9715756,-26.1307354,393
pup4389,29.9301563,-27.7567191,28
pup428,27.565301,-25.75849,1793
pup506,17.988139,-32.907581,2915
pup3673,27.8949604,-32.9699635,86
pup4099,28.060083,-26.309728,206
pup2196,18.4897071,-33.8222301,1965
pup4721,30.138408,-23.21001,2
pup4603,27.1021359,-26.6682361,210
pup1813,29.3658067,-30.8050003,1295
pup2229,28.0490478,-26.2678799,1679
pup897,28.024952,-26.014343,2353
pup985,28.192274,-26.036808,8554
pup2546,30.043194,-25.6938779,720
pup4135,28.48143,-28.31586,
pup256,28.710048,-24.523414,968
pup4197,32.048859,-28.753773,257
pup3472,23.8553068,-33.8260325,101
pup2740,28.2485283,-25.6810731,479
pup4704,18.537465,-33.928241,13
pup1468,30.4592128,-22.975948,2958
pup619,30.868923,-30.065536,2467
pup2379,18.5258053,-33.8353758,270
pup1491,28.1074857,-26.0144878,2091
pup4433,29.779901,-28.5589,185
pup4529,29.8799,-30.5725,73
pup1317,28.0453659,-25.5036421,265
pup4684,25.970657,-27.194312,7
pup1396,18.6270925,-33.9696803,5027
pup1992,24.765387,-28.760737,614
pup3530,28.231176,-25.7718403,237
pup2093,28.1581983,-26.1860352,1742
pup2070,28.1105523,-25.6727146,3405
pup3750,28.0042757,-26.1822226,1604
pup3817,27.8732855,-26.1236106,323
pup4869,18.0258291,-32.9180302,
pup3147,30.8020662,-26.0380812,1661
pup554,18.419232,-33.923454,1923
pup4575,26.1752119,-29.6536961,5
pup3732,28.442115,-26.2558279,408
pup3691,18.5562815,-33.8934946,1733
pup2468,29.12411,-28.26881,43
pup3054,28.3081329,-32.0966311,455
pup2079,27.900812,-26.2589053,1995
pup1470,28.3156908,-26.184691,1504
pup2594,29.2841897,-24.9781106,40
pup1846,29.8721293,-27.0028242,101
pup2002,31.35264,-25.5015079,191
pup237,28.493993,-27.275362,346
pup3768,27.9009722,-25.7409722,10
pup717,27.990745,-26.101905,1522
pup1126,18.6338712,-33.875339,1763
pup3552,28.2724034,-25.7826788,26
pup4187,28.3701443,-26.3529282,1263
pup249,20.622403,-28.774498,1503
pup221,21.26007,-34.090642,801
pup709,27.969767,-26.063097,3358
pup625,28.276544,-25.78782,2200
pup4300,18.3840613,-33.9193194,658
pup4720,18.465708,-33.914694,9
pup2399,25.5589345,-33.9808928,2780
pup1033,31.421482,-28.301086,4166
pup3907,25.5740052,-33.9502686,995
pup3890,28.0496426,-26.1096522,303
pup1724,30.8135949,-29.7480953,655
pup1420,18.4570139,-33.788077,1471
pup4685,30.250815,-25.66557,12
pup1555,18.6161038,-34.0399335,1521
pup4418,31.003314,-29.684732,72
pup3847,28.7833127,-30.3312152,149
pup1892,28.3858253,-25.8920813,297
pup532,19.00359,-33.641064,2506
pup4866,27.9101009,-26.2622727,
pup2344,18.6965585,-33.8529169,1518
pup4386,29.7756668,-28.5540224,7
pup1633,28.4535549,-26.275241,3398
pup1478,27.3888018,-32.8762335,2167
pup2844,31.06869,-29.72922,499
pup465,28.369018,-26.245695,424
pup2288,30.967427,-25.4383233,1880
pup4292,19.4332906,-33.6316548,170
pup3597,18.4184504,-33.923216,
pup3585,18.4636007,-33.9797485,188
pup2307,30.46321,-22.9838848,1612
pup925,25.407112,-33.758896,3532
pup1475,18.4222038,-33.9221675,1116
pup723,29.236243,-25.874141,3915
pup727,27.856404,-26.249604,3200
pup1979,18.5589746,-33.8915245,2400
pup3125,32.0497347,-28.7531946,2050
pup773,28.16331,-25.90853,3202
pup3226,30.9749152,-25.4701547,2
pup499,18.829185,-34.115102,2786
pup1351,30.3723677,-29.5968207,712
pup943,27.918535,-26.137579,3459
pup2866,19.25742,-34.41122,84
pup2025,18.4620151,-34.0502849,162
pup1307,27.8923735,-26.1477334,939
pup2034,28.30905,-25.788941,531
pup3600,28.0495089,-26.1075935,28
pup2901,18.4687245,-34.0049457,37214
pup2567,30.6920339,-23.3092446,289
pup3816,18.4833597,-34.0210513,36
pup2230,26.7358109,-27.9767373,1148
pup4198,28.313867,-25.823983,582
pup3276,27.1685904,-29.3389141,674
pup1790,18.7226065,-33.8519251,119
pup754,30.233336,-29.496246,3793
pup1650,30.0589586,-28.016085,239
pup4503,27.1932471,-25.6156142,72
pup2097,28.0573476,-26.1034026,211
pup3744,29.1830152,-26.5109865,1841
pup4394,28.2892025,-24.8843577,2
pup741,28.206432,-25.719301,3092
pup3053,26.8718702,-31.8973219,1146
pup2842,18.417615,-33.9044281,278
pup571,30.313785,-24.660762,5394
pup2769,18.4772139,-33.7867368,457
pup2402,27.9030541,-32.98433,3686
pup4427,28.0553,-26.2042,239
pup1946,18.4203987,-33.9051938,461
pup2799,27.972444,-26.1313339,515
pup4749,18.4616924,-33.9795262,22
pup3076,27.9899013,-26.0911352,2783
pup4580,30.365227,-23.5723051,4
pup240,16.866268,-29.243906,3215
pup3491,17.8886145,-29.6629244,209
pup904,30.162517,-23.825406,6191
pup2780,18.5084579,-33.8939103,942
pup3526,31.0672604,-29.7241777,25
pup3877,31.0632106,-29.725907,260
pup2954,18.969,-22.4511,
pup108,31.070172,-29.724869,1967
pup3522,28.2379118,-26.181415,165
pup2409,28.3133578,-25.8233538,1359
pup2003,30.9852778,-25.4658333,878
pup437,18.968738,-33.765008,3711
pup953,30.451455,-25.092626,4352
pup1857,28.1822907,-26.3428843,131
pup2841,18.6327713,-33.8717955,695
pup1822,25.0049261,-29.4067108,985
pup2950,15.891655,-17.394647,
pup2119,27.25183,-25.704727,1751
pup91,28.18743,-25.724332,377
pup2261,18.4692414,-34.0034206,1731
pup2092,28.0593869,-26.1033665,1469
pup2766,28.3839259,-26.2750867,215
pup590,17.057679,-22.551886,
pup2502,27.40934,-24.59034,44
pup4058,18.72918,-33.459336,1
pup4640,18.6927391,-33.8283623,40
pup1451,28.1069911,-26.0142786,2149
pup4527,28.1474,-26.3696,82
pup2820,18.4612758,-33.9803761,405
pup4412,22.1250658,-34.1813439,10
pup2215,27.9042936,-33.0169158,699
pup4819,27.9034184,-33.0174321,2
pup3334,29.2644007,-25.8874769,289
pup1466,27.2394078,-25.666735,364
pup3445,22.1442523,-34.1812479,204
pup3096,28.3163869,-26.2512903,1260
pup2816,28.3228391,-25.7664048,222
pup1913,27.0106985,-28.5217926,181
pup4212,27.2534613,-25.1901588,198
pup496,18.823462,-34.070457,5321
pup3762,30.9611335,-29.8290199,3369
pup4351,25.605428,-33.824567,37
pup2781,28.2738013,-25.7819552,576
pup2256,18.730051,-33.4612222,1738
pup2697,25.6427326,-25.8669637,391
pup3122,29.9443607,-27.7798887,3571
pup951,29.461609,-26.455662,2654
pup3918,28.1129688,-25.5198085,119
pup666,28.239356,-25.704171,3601
pup4752,30.9672022,-25.4739077,39
pup4266,26.7024078,-26.8500812,931
pup270,29.472075,-25.765373,688
pup2271,22.1163438,-34.1850152,2251
pup963,27.904367,-33.017303,3231
pup4243,31.0623164,-29.7537932,523
pup4359,27.3872726,-32.8787366,126
pup2863,28.0486315,-26.1089243,272
pup2717,30.7736203,-29.7891413,523
pup2251,29.7801395,-28.5573431,652
pup192,19.775169,-31.473439,606
pup682,25.508874,-33.946622,2316
PUP3546,18.5209694,-33.8637917,70
pup4227,27.8474133,-26.565613,328
pup4317,28.1470479,-26.3761305,253
pup1875,28.230436,-26.1077488,32
pup976,29.501206,-23.882771,809
pup1826,27.5943497,-27.2299562,84
pup883,31.066293,-29.725718,5628
pup2582,29.1834816,-25.2807256,224
pup2876,28.23985,-26.18323,282
pup720,28.00369,-26.182385,3973
pup3060,27.2311395,-27.6626839,2146
pup2299,18.8234052,-34.082207,1284
pup685,25.596339,-33.980553,4332
pup4472,25.539661,-33.846694,20
pup3244,31.6463888,-27.9168638,780
pup1998,30.156729,-23.821945,992
pup2853,29.2614281,-25.8847835,251
pup1043,28.295415,-24.896245,2004
pup1566,28.0514958,-26.1077683,1420
pup4209,18.671053,-33.915521,59
pup2873,26.86675262,-28.61416626,112
pup3307,25.5024,-24.4085,
pup1730,29.5090904,-23.8737085,413
pup1873,28.1216337,-26.2683261,44
pup3301,27.9968253,-26.2161238,45
pup657,28.007235,-26.016231,1902
pup2592,27.0997506,-25.3612889,979
pup3306,27.9021771,-32.9842782,700
pup1651,18.8438408,-29.2422024,77
pup1811,27.7043096,-26.1801295,132
pup1513,30.9664088,-25.4372491,422
pup1034,29.478547,-24.316416,3026
pup578,18.671455,-33.857247,2589
pup1596,30.3696042,-30.8646543,234
pup3257,18.8280714,-34.0846075,656
pup3189,18.8217803,-34.0825573,1124
pup2562,28.0436,-26.2049,388
pup1551,28.2760488,-25.7826722,721
pup4698,28.806653,-30.342852,17
pup507,17.984119,-32.92181,2622
pup2293,27.9821928,-26.2669543,979
pup162,18.621539,-33.904397,404
pup4754,30.1612006,-23.8326021,18
pup4100,28.251796,-25.681604,8
pup626,28.137952,-26.121561,4004
pup2207,28.0027432,-26.1823954,2718
pup4191,26.876,-31.8972,63
pup2715,27.8217479,-26.70998,647
pup2544,27.240487,-25.7098224,294
pup305,23.773557,-29.052238,1532
pup541,18.616111,-34.039793,8879
pup4357,25.3983551,-33.7675242,17
pup3631,27.9025408,-26.1277162,925
pup2094,28.294347,-24.8952113,474
pup991,26.675278,-28.855911,993
pup1495,31.0659692,-29.7253931,1032
pup1146,28.196413,-25.6772809,471
pup3212,31.0283846,-29.7644776,101
pup1236,20.8534328,-33.2045296,30
pup155,28.085775,-26.085639,1127
pup1003,23.369623,-34.043024,2620
pup4219,31.0513792,-27.6981555,14
pup2102,31.066978,-29.728055,927
pup1986,28.107066,-26.015312,683
pup966,27.740578,-32.935341,6138
pup2588,26.8987837,-25.8704784,66
pup3938,29.443486,-23.90176,65
pup4511,30.6021066,-30.4851955,42
pup909,18.96102,-33.764805,3139
pup2598,27.2621078,-24.9577942,24
pup1498,28.0120324,-26.0306206,2472
pup737,23.033163,-27.700477,4568
pup4123,23.04929,-27.69569,3
pup4742,23.4622714,-27.3842096,2
pup4221,28.0307183,-25.419675,28
pup1124,18.4202008,-33.9036862,388
pup1320,28.2094629,-25.9639801,99
pup771,29.458744,-25.804971,3092
pup2081,18.629097,-33.903386,413
pup3883,26.7354817,-27.9766007,49
pup2535,28.2758374,-25.7819093,434
pup3447,28.7899625,-31.5892585,954
pup2674,18.680118,-34.0019945,2080
pup4000,30.313736,-24.66132,25
pup1865,18.5329228,-33.9685289,26
pup514,18.493837,-33.815472,1958
pup2796,31.0623122,-29.7538584,1062
pup13,18.692702,-33.953065,1222
pup4161,28.1903327,-26.0371073,297
pup958,28.676784,-26.14998,3074
pup1745,28.0593382,-26.0579788,433
pup4500,28.3310449,-26.5570098,3
pup615,30.30088,-29.561236,1711
pup4543,28.0472,-26.0591,119
pup640,27.097427,-26.708281,6165
pup1448,28.1099392,-25.6708973,2464
pup731,28.140572,-26.119572,5623
pup2737,28.1835813,-25.857156,974
pup2991,27.8679558,-32.993011,346
pup1579,29.3995815,-25.1677818,2032
pup3680,25.6058613,-33.9506455,1025
pup3271,18.4835752,-33.9886162,1737
pup3610,18.4194646,-33.9195081,162
pup1011,31.6109,-27.378488,3197
pup4366,27.4573829,-26.8996394,3
pup2012,25.5858711,-33.9759152,1955
pup4118,28.775246,-25.825451,2
pup2234,18.5650442,-33.986245,385
pup4539,28.043045,-25.505038,356
pup670,27.253327,-25.707262,2817
pup4424,25.6219,-32.169075,153
pup2222,28.2239942,-26.105229,868
pup712,28.135416,-26.183385,3158
pup4476,18.548044,-34.074992,52
pup2983,29.1859129,-26.5062555,931
pup4114,27.258797,-24.956927,11
pup764,28.296861,-26.162218,2748
pup4196,27.974047,-26.129744,145
pup2537,28.1170862,-26.1803896,587
pup1922,29.4637248,-26.0934715,98
pup4541,27.9311,-26.2583,99
pup172,30.237786,-28.161448,418
pup3764,24.764612,-28.764818,612
pup48,18.4639663,-33.9845774,3235
pup3338,30.9654252,-25.4371615,51
pup3685,28.4521262,-26.2749577,17
pup544,18.357726,-34.042544,2892
pup3861,18.4661813,-33.9381755,117
pup4597,31.1268167,-24.9567023,1
pup1698,29.9928751,-29.3574524,835
pup747,28.140668,-25.907973,2958
pup4463,28.05751815,-25.572636,5
pup4633,29.10688,-31.567295,3
pup818,22.583594,-32.347098,575
pup4836,30.9123352,-29.9466383,1
pup3943,28.0097315,-26.0208779,330
pup1968,28.118963,-26.174543,877
pup2505,28.5988,-27.02755,350
pup1949,18.489636,-33.8218593,1539
pup669,28.034427,-26.192956,2574
pup2143,28.1847041,-25.7098382,111
pup2258,27.9006632,-26.2594135,1677
pup939,28.110383,-25.673661,4833
pup945,27.224477,-25.694333,2912
pup2080,18.6162165,-34.0397361,1852
pup1089,23.071017,-27.692062,1129
pup851,18.893345,-32.175561,405
pup3759,31.0647105,-29.7542817,2529
pup1977,28.051007,-26.266941,576
pup1814,26.6295813,-32.777718,6
pup3983,30.918911,-29.880196,47
pup3746,28.0971747,-25.8906194,740
pup1001,30.794834,-27.766063,1157
pup3465,23.3354757,-33.734282,33
pup2828,18.8206098,-34.0828994,329
pup4410,18.4645665,-33.9817086,20
pup4098,25.637065,-25.83638,15
pup4632,27.388566,-32.876316,5
pup4871,28.0149267,-26.0404236,
pup4705,18.503452,-33.973605,59
pup4391,31.6460696,-27.908248,10
pup3815,18.586642,-33.9075845,21
pup2219,31.8892673,-28.7420049,2079
pup928,27.871293,-26.091414,2716
pup1768,24.3081445,-28.4138545,95
pup4784,28.1588471,-26.4129917,3
pup777,30.772063,-29.787082,3104
pup1140,18.510697,-33.8934851,3143
pup2839,30.8051229,-29.798031,416
pup1425,19.3503289,-34.588371,1228
pup4136,28.19321,-28.14351,
pup2273,28.7729566,-31.5993687,2764
pup759,30.369741,-29.598109,3300
pup2990,29.2898194,-24.9731914,515
pup796,30.916967,-29.880331,5247
pup4646,31.043413,-29.7068679,36
pup4651,28.2341633,-25.7667722,34
pup592,28.417424,-26.154477,3673
pup2470,20.95657,-34.09071,162
pup4558,28.375554,-32.68088,20
pup3332,24.7643688,-28.7660815,159
pup1990,28.0747,-25.9837,467
pup362,29.184405,-26.505599,485
pup4657,18.671369,-33.897997,12
pup147,27.988756,-26.12855,1753
pup2182,31.0252062,-29.844825,443
pup4280,27.8350501,-26.0607697,433
pup2291,27.9752308,-26.1307179,790
pup1816,31.4031598,-28.5915379,406
pup3343,31.0656601,-29.7249701,107
pup1966,27.8725,-26.1625,751
pup4260,28.275548,-25.7823502,254
pup601,27.868226,-26.326248,3911
pup1020,28.32581,-28.242032,2142
pup4330,26.2511874,-29.1415399,43
pup3615,29.1810167,-26.5100077,420
pup3538,27.2505549,-25.7034644,262
pup656,28.170837,-25.676805,2380
pup1000,27.878799,-28.872651,1598
pup810,28.135911,-25.871442,4657
pup2934,15.696199,-17.771345,
pup1235,18.4393435,-33.7293348,334
pup3280,18.5967092,-33.9048647,1568
pup4138,18.3299,-34.006,
pup2743,18.8573161,-33.9352369,625
pup4403,26.6647945,-26.8694888,9
pup4278,27.9391914,-26.1009482,1194
pup2725,27.9042396,-26.1263821,413
pup1919,24.8360108,-27.9217656,186
pup2891,31.2903522,-29.3404453,76
pup654,28.235809,-25.750306,3286
pup4415,28.061756,-25.551594,19
pup2263,29.4573781,-25.806329,1591
pup140,29.397083,-25.164537,599
pup1204,19.4540696,-34.4404425,201
pup1546,31.0666842,-29.7244164,2269
pup962,25.620624,-33.958977,2400
pup2241,28.269152,-25.4057915,2846
pup707,27.456955,-26.900997,2991
pup493,19.434129,-33.631413,4047
pup2719,22.5022743,-33.9869915,492
pup3959,29.5080499,-23.8734405,22
pup3935,30.858536,-22.838539,100
pup2765,31.184217,-29.5128991,300
pup2410,31.0261078,-29.8560812,1714
pup4016,17.992265,-32.906322,2
pup473,29.982137,-26.522027,479
pup4489,26.861721,-33.600631,9
pup635,27.971101,-26.662129,3409
pup952,28.2259082,-26.2689096,2240
pup878,30.39474,-29.61538,3608
pup3477,18.465006,-33.9828355,205
pup1508,29.264246,-25.8872093,761
pup1960,29.4006048,-25.1668719,684
pup1141,18.4221242,-33.9223086,513
pup1488,28.3031878,-25.8178579,1274
pup3982,28.992627,-24.19653,41
pup436,18.842477,-33.977469,3826
pup4636,31.054928,-24.595375,165
pup3977,18.6322246,-33.8736977,115
pup1995,27.839009,-26.062154,746
pup3891,27.2510932,-25.7070978,63
pup4104,26.07599,-25.54624,7
pup4378,28.2521273,-26.2231156,25
pup4706,28.621049,-23.431282,2
pup1602,24.8983639,-34.03167,268
pup4820,27.8998013,-33.004646,10
pup4049,30.450052,-30.737647,52
pup1544,28.2399228,-26.1809122,529
pup831,28.304138,-25.683399,607
pup792,27.940345,-26.015427,3293
pup2175,31.0692543,-24.8345467,997
pup4612,29.9885746,-24.8823907,30
pup3709,28.1316134,-26.1820159,251
pup3869,29.9099955,-23.0369816,17
pup4598,29.6257615,-24.2665712,10
pup4791,27.9256069,-26.0802953,34
pup1783,18.6194757,-34.050437,88
pup4801,28.3879295,-26.3345583,2
pup2752,21.2543608,-28.443768,299
pup2559,22.4452,-33.9716,1823
pup4430,28.1908,-25.8457,218
pup4156,18.4828718,-33.9893047,663
pup2933,27.4774,-29.3166,12
pup3192,18.4616109,-33.9795188,762
pup4140,28.191266,-25.747311,998
pup4171,28.4147809,-25.7022464,341
pup4329,26.7089413,-29.2025253,192
pup4668,28.7425949,-25.8053874,10
pup2028,28.250778,-25.860575,518
pup320,29.164958,-27.426025,575
pup2751,29.1823484,-26.5061703,721
pup4074,28.192166,-26.037746,697
pup1553,28.1076945,-26.0156888,3337
pup4525,28.201309,-25.956628,6009
pup1388,24.8300143,-34.209882,691
pup972,27.897623,-32.970537,2257
pup3565,28.101436,-25.534432,139
pup4747,28.0049022,-26.0933123,
pup2615,28.4208,-25.7032,3264
pup3167,27.7935223,-25.6425693,1548
pup652,28.240445,-26.181296,4970
pup410,18.73234,-33.850933,312
pup338,18.624887,-31.773158,307
pup1474,25.5792238,-33.9498305,3132
pup1613,27.8180492,-26.0899056,4035
pup2235,29.1252342,-28.270319,1931
pup784,27.704365,-23.68669,3239
pup3092,28.1245583,-26.2663722,3561
pup4342,18.5095356,-33.8929994,769
pup2421,29.24158,-26.95161,33
pup4113,31.131368,-25.044077,8
pup894,28.006361,-26.016369,529
pup4285,30.1594189,-23.8254159,678
pup2341,27.9738842,-26.1307056,1
pup4446,30.42006,-22.992793,137
pup3974,28.5170926,-26.0871329,
pup3169,25.6367003,-25.8565743,3947
pup687,22.483083,-33.965311,2382
pup2859,30.9441334,-25.4535564,67
pup3344,26.2078569,-29.1142873,175
pup3844,18.9589226,-33.7648501,62
pup4750,18.8255755,-34.0881088,6
pup1212,26.0877959,-32.6779466,182
pup630,28.003467,-26.092929,2334
pup3551,18.5970116,-33.9055072,166
pup504,18.757435,-32.90656,2509
pup3162,26.7028373,-26.8489201,800
pup2489,27.38949,-26.34884,9
pup3553,31.0634375,-29.7257047,43
pup2673,27.2546,-25.6953,1359
pup4491,22.103983,-34.148107,3
pup4120,31.005017,-29.702013,98
pup877,30.357557,-29.571831,2748
pup1113,18.4614239,-33.9797222,1617
pup510,18.489562,-33.822732,2704
pup3929,29.359727,-23.848571,49
pup253,27.494135,-26.492034,736
pup1630,18.4698228,-33.983289,413
pup2605,25.8080281,-26.5324665,31
pup4828,28.7869958,-25.4169165,1
pup4764,27.8187251,-26.1397358,2
pup3698,28.0039576,-26.0208098,238
pup2276,29.9342707,-27.7556634,340
pup2767,28.020419,-26.0529167,407
pup4689,27.880764,-26.207079,7
pup1093,26.1794373,-29.047135,982
pup2568,31.5109558,-25.4973402,56
pup2432,24.76398,-28.74056,93
pup2655,26.629923,-32.7788977,44
pup3740,25.5580767,-33.979933,1381
pup518,18.63681,-33.87199,494
pup2491,29.45043,-23.90632,58
pup3079,28.1392193,-26.1186673,1780
pup4039,22.116494,-34.182997,
pup4444,28.415203,-24.710672,24
pup1030,32.100254,-27.432065,3559
pup2957,31.175455,-26.398121,
pup570,28.268744,-25.405749,10979
pup3067,27.6994256,-23.6857156,491
pup1430,29.471107,-23.8958017,1212
pup2302,31.2909693,-29.3386721,1706
pup1042,23.505097,-30.588473,165
pup4340,18.6152363,-34.0367634,15706
pup4576,24.7159991,-27.3381206,
pup4714,28.1041034,-25.9446258,13
pup4064,26.221809,-29.117197,118
pup3733,18.4526083,-32.0263111,12
pup1376,28.3157356,-26.1881381,234
pup4692,28.1687233,-26.1602253,32
pup2300,28.4533272,-26.275268,1777
pup2371,30.8131806,-29.7487381,1421
pup2783,30.9541945,-25.4685276,716
pup4339,18.509449,-33.808893,15
pup1419,18.4213022,-33.9261588,833
pup978,28.067569,-26.278987,1227
pup2494,27.24189,-25.66688,74
pup2135,27.6477011,-26.2193745,391
pup3004,30.4090851,-30.8103967,695
pup3901,28.3162031,-26.2528321,620
pup4027,31.006743,-25.495792,
pup502,20.04422,-34.534278,2858
pup4033,22.502818,-33.98669,7
pup3196,18.4749336,-33.7856861,555
pup672,27.822421,-26.709567,5087
pup4264,28.1399093,-26.1183091,541
pup3646,18.695038,-33.8526477,262
pup4442,31.001862,-29.8412,35
pup1554,26.2112578,-29.1149853,1839
pup2404,18.4989199,-31.6636582,745
pup217,19.899649,-34.472648,539
pup4090,28.048564,-26.267919,10
pup3971,26.7012428,-26.8496802,199
pup1795,18.9690216,-33.7319744,51
pup2060,18.468828,-34.004785,
pup4481,28.1978475,-26.1311505,10
pup3674,28.0447635,-26.2053576,570
pup3599,30.9342825,-29.8493687,466
pup4344,26.2310585,-29.0709658,385
pup1695,31.2317,-29.4901,2523
pup3311,23.4312,-19.9773,4
pup2997,27.830089,-25.468628,900
pup3638,28.1857227,-25.8580673,316
pup4785,32.049384,-28.753833,35
pup2104,30.9023736,-30.0300166,842
pup927,28.247231,-26.079692,2791
pup919,24.535994,-32.248996,2419
pup650,31.135428,-23.950842,4355
pup4127,28.418794,-25.702322,1
pup2037,26.7376704,-27.9766055,1286
pup624,28.117754,-25.977053,4419
pup896,28.202923,-25.750205,3442
pup3872,28.1805696,-25.8581029,126
pup1441,27.9741285,-26.1304765,3865
pup4483,28.13158,-23.578553,14
pup1319,27.8678427,-26.1615438,62
pup1279,30.3931668,-22.9838798,4597
pup1044,31.12671,-25.410602,2534
pup2014,27.0970475,-26.7145297,1800
pup4661,30.985248,-29.737336,23
pup1120,18.6313091,-33.8693769,840
pup4095,18.508479,-31.672757,
pup3579,27.857947,-25.777086,342
pup609,30.793114,-27.766756,5430
pup4004,18.685587,-33.876932,
pup4009,18.969501,-33.731695,10
pup3104,28.1865723,-25.8563842,1461
pup525,18.68207,-33.884055,3541
pup533,19.114995,-33.906624,2126
pup864,28.176336,-25.876775,2168
pup3976,28.0464696,-26.2682887,800
pup530,18.966747,-33.731296,4565
pup3681,25.3957506,-33.7657538,1384
pup4584,29.4315563,-23.9022868,26
pup4399,31.0364442,-24.6076935,4
pup2444,27.27745,-25.6103,1
pup748,28.011553,-26.017822,2965
pup3952,30.469246,-22.932629,90
pup2301,29.242482,-26.954012,2330
pup3233,18.494,-34.0465,3105
pup4333,28.178129,-26.388304,152
pup3825,19.453388,-34.44906,21
pup1031,27.168535,-25.164117,2157
pup1227,30.356435,-29.571889,644
pup4702,28.341476,-25.719638,181
pup3121,30.7912895,-27.7652896,1189
pup3532,27.9040102,-26.1275089,1096
pup2714,18.6301113,-33.8704595,967
pup2252,27.7025999,-23.6870162,1058
pup279,26.825173,-26.317401,712
pup2390,31.0433,-24.6034,2047
pup4837,28.157435,-26.2052306,
pup690,28.023233,-26.241402,2778
pup993,27.230624,-27.648796,2211
pup627,28.2685,-25.8178,3335
pup3892,31.0632106,-29.725907,793
pup2064,27.9047458,-26.1270165,2063
pup2688,27.3897123,-32.8777647,3
pup4579,30.0961794,-23.2000202,2
pup781,31.005273,-29.701817,5830
pup1194,18.5301845,-33.9407942,206
pup4707,29.784576,-28.551021,2
pup811,28.100614,-25.891002,4224
pup622,27.906809,-26.127459,5071
pup3221,30.3502,-29.5856,1412
pup595,28.2583022,-25.3739379,10951
pup2528,31.065833,-29.7261998,801
pup1017,27.848692,-26.596683,1748
pup3174,17.8855517,-29.6646782,1969
pup550,18.388596,-34.124351,3461
pup1476,26.7352778,-27.9779702,2542
pup798,28.371937,-26.493494,2382
pup3827,31.5060862,-25.4973577,194
pup2033,21.255013,-28.442242,340
pup1834,29.8847798,-30.5769563,1178
pup2084,29.5094598,-23.8740477,754
pup2437,27.2639251,-24.9558565,18
pup875,30.935787,-29.849805,5631
pup4710,28.7648433,-31.5805384,10
pup4309,28.1931977,-26.0400069,89
pup2267,26.2014802,-29.109116,1986
pup2438,29.24125,-26.95293,26
pup429,28.470893,-26.418849,111
pup1029,25.493404,-33.968987,1743
pup3051,27.3845514,-32.8736389,1923
pup4125,29.18289,-26.511385,6
pup2852,29.5084405,-23.8741333,612
pup2487,29.21970749,-25.89910698,82
pup2504,27.93068,-26.67435,42
pup103,24.541266,-32.2648,848
pup3519,28.2546809,-25.6807318,36
pup1775,18.4324563,-34.1935927,87
pup3758,32.05053,-28.75206,646
pup161,18.4694,-33.994119,2890
pup1477,28.1664208,-26.2127292,860
pup4335,28.15985,-26.179663,26
pup2716,30.3758942,-29.5826293,1456
pup4569,29.387462,-23.8468238,11
pup2490,27.46091,-26.90419,45
pup2849,28.0052523,-26.0198341,258
pup1134,18.4208453,-33.9227482,1048
pup4134,31.203603,-29.526255,30
pup4103,28.270088,-25.406198,14
pup2530,20.48565,-30.4660748,63
pup1129,18.5110081,-33.893648,2363
pup2798,28.0573195,-26.3145967,619
pup4453,18.465115,-33.980348,332
pup4671,28.157239,-26.149116,71
pup4407,23.4328219,-27.4620575,16
pup602,31.01997,-29.83246,3671
pup11,18.508395,-33.880271,746
pup3967,30.8803592,-29.9134321,1360
pup3669,32.0480439,-28.7542962,471
pup4214,30.2831144,-24.6568334,92
pup2445,28.36513,-26.2359699,47
pup981,27.967536,-26.128881,1104
pup3780,27.2529387,-25.7073737,1342
pup1395,26.731596,-27.9741256,2914
pup3667,30.9655576,-25.4371695,4
pup3802,26.2085501,-29.114956,47
pup1095,26.7096485,-29.2017814,4968
pup2115,28.1098988,-25.6720163,405
pup920,25.528279,-33.894032,6733
pup77,27.922882,-26.658268,531
pup2684,27.9022647,-33.0123261,23
pup2993,29.9286121,-27.7401654,150
pup3712,18.5803081,-33.9938973,57
pup884,32.100328,-28.781959,2714
pup579,18.618339,-33.874029,4290
pup1855,28.6205117,-23.4310874,50
pup4069,29.19137,-26.515907,10
pup4738,27.8479821,-26.1305141,25
pup2326,27.5334665,-25.684548,162
pup200,30.157004,-23.823088,1969
pup782,28.089803,-25.770341,3705
pup4043,26.8858,-33.592631,4
pup890,26.165019,-29.094395,2174
pup765,22.116262,-34.184527,3692
pup4621,30.1635457,-27.9242759,1
pup3962,28.5170926,-26.0871329,1
pup2930,25.9741,-24.5694,
